"Kerncijfers wijken en buurten 2018"
""
"";"Topic"
"";"Regioaanduiding|Soort regio";"Regioaanduiding|Indelingswijziging wijken en buurten";"Bevolking|Aantal inwoners";"Bevolking|Geslacht|Mannen";"Bevolking|Geslacht|Vrouwen";"Bevolking|Leeftijdsgroepen|0 tot 15 jaar";"Bevolking|Leeftijdsgroepen|15 tot 25 jaar";"Bevolking|Leeftijdsgroepen|25 tot 45 jaar";"Bevolking|Leeftijdsgroepen|45 tot 65 jaar";"Bevolking|Leeftijdsgroepen|65 jaar of ouder";"Bevolking|Bevolkingsdichtheid";"Inkomen|Inkomen van personen|Aantal inkomensontvangers  ";"Inkomen|Inkomen van personen|Gemiddeld inkomen per inkomensontvanger ";"Inkomen|Inkomen van personen|Gemiddeld inkomen per inwoner ";"Inkomen|Inkomen van personen|40% personen met laagste inkomen";"Inkomen|Inkomen van personen|20% personen met hoogste inkomen";"Inkomen|Inkomen van personen|Actieven 15-75 jaar";"Inkomen|Inkomen van huishoudens|40% huishoudens met laagste inkomen";"Inkomen|Inkomen van huishoudens|20% huishoudens met hoogste inkomen";"Inkomen|Inkomen van huishoudens|Huishoudens met een laag inkomen";"Inkomen|Inkomen van huishoudens|Huish. onder of rond sociaal minimum";"Postcode|Meest voorkomende postcode";"Postcode|Dekkingspercentage"
"Da Costa neighborhood";"Neighbourhood";"1";"4705";"2355";"2345";"470";"420";"2160";"1110";"560";"21646";"4,000";"42.8";"37.1";"32.1";"33.0";"71.7";"47.5";"20.9";"10.4";"10.9";".";"."
"Da Costa Neighborhood North";"Neighborhood";"1";"4705";"2355";"2345";"470";"420";"2160";"1110";"560";"21646";"4,000";"42.8";"37.1";"32.1";"33.0";"71.7";"47.5";"20.9";"10.4";"10.9";"1053";"3"
"Kinkerbuurt";"Neighbourhood";"1";"6590";"3345";"3240";"700";"660";"3300";"1440";"505";"26135";"5300";"38.8";"33.4";"33.8";"28.8";"71.8";"53.0";"15.9";"14.4";"13.7";".";"."
"Bellamybuurt North";"Neighborhood";"1";"2825";"1495";"1,330";"305";"255";"1310";"720";"240";"29442";"2100";".";".";"35.7";"27.2";"69.4";"53.7";"17.0";"14.6";"13.8";"1053";"2"
"Bellamybuurt South";"Neighborhood";"1";"3760";"1,850";"1910";"395";"405";"1990";"720";"265";"24100";"3200";"39.4";"34.2";"32.6";"29.9";"73.2";"52.5";"15.3";"14.3";"13.6";"1053";"1"
"Van Lennepbuurt";"Neighbourhood";"1";"6990";"3485";"3505";"685";"690";"2890";"1780";"955";"28005";"6,000";"34.1";"29.6";"40.6";"23.1";"63.4";"58.4";"11.3";"16.5";"16.5";".";"."
"Da Costa Neighborhood South";"Neighborhood";"1";"2225";"1175";"1050";"220";"230";"1170";"455";"170";"30595";"1,900";".";".";"31.7";"30.3";"74.9";"51.6";"14.2";"12.4";"11.4";"1053";"1"
"Borgerbuurt";"Neighborhood";"1";"2,885";"1375";"1510";"290";"290";"835";"845";"630";"25472";"2,500";".";"23.7";"50.0";"15.8";"51.3";"65.1";"7.9";"18.9";"21.3";"1053";"1"
"Lootsbuurt";"Neighborhood";"1";"1875";"935";"940";"175";"175";"890";"490";"160";"29557";"1,600";".";".";"36.7";"25.8";"67.2";"57.0";"12.7";"17.6";"15.6";"1053";"1"
"Helmersbuurt";"Neighbourhood";"1";"7410";"3590";"3820";"890";"800";"2995";"1930";"805";"22124";"6100";"47.3";"39.9";"31.5";"35.9";"70.1";"46.4";"22.1";"11.6";"10.9";".";"."
"Helmersbuurt East";"Neighborhood";"1";"2625";"1255";"1365";"350";"320";"1130";"600";"235";"25286";"2100";".";"44.3";"27.7";"38.6";"73.1";"41.6";"25.4";"8.0";"7.4";"1054";"1"
"WG site";"Neighborhood";"1";"2515";"1225";"1285";"265";"255";"800";"790";"415";"15347";"2100";".";".";"37.8";"30.6";"62.5";"53.7";"19.1";"16.2";"15.1";"1054";"1"
"Cremerbuurt East";"Neighborhood";"1";"2270";"1100";"1165";"280";"230";"1070";"545";"155";"33758";"1,900";".";".";"28.5";"38.8";"75.1";"43.3";"21.8";"10.4";"9.9";"1054";"1"
"Overtoomse Sluis";"Neighbourhood";"1";"7890";"3835";"4055";"890";"750";"3865";"1720";"680";"26482";"6500";"47.1";"40.2";"29.0";"36.4";"74.3";"44.6";"22.7";"9.1";"8.9";".";"."
"Cremerbuurt West";"Neighborhood";"1";"5680";"2790";"2,885";"625";"475";"2950";"1225";"415";"28877";"4800";"45.9";"39.3";"28.8";"35.7";"75.1";"44.8";"21.5";"9.7";"9.2";"1054";"1"
"Vondelparkbuurt West";"Neighborhood";"1";"2205";"1040";"1165";"265";"275";"915";"495";"265";"21826";"1800";".";".";"29.6";"38.0";"72.2";"44.1";"25.9";"7.4";"8.1";"1054";"1"
"Vondelbuurt";"Neighbourhood";"1";"1860";"945";"915";"250";"205";"560";"525";"335";"8592";"1400";".";".";"34.1";"37.0";"66.5";"46.4";"30.1";"13.0";"12.2";".";"."
"Vondelparkbuurt East";"Neighborhood";"1";"935";"490";"445";"130";"110";"315";"265";"130";"7460";"700";".";".";"30.6";"40.9";"68.8";"40.6";"34.1";"12.4";"10.6";"1054";"1"
"Vondelparkbuurt Middle";"Neighborhood";"1";"925";"450";"470";"125";"95";"250";"260";"205";"10155";"700";".";".";"37.8";"32.9";"64.1";"52.4";"26.1";"13.6";"13.9";"1054";"1"
"Zuidas";"Neighbourhood";"1";"3700";"2050";"1645";"330";"620";"2175";"480";"110";"1747";"2800";"63.1";"53.2";"29.3";"41.1";"73.1";"51.3";"24.9";"4.4";"3.3";".";"."
"Zuidas North";"Neighborhood";"1";"450";"255";"195";"40";"25";"325";"55";"15";"564";"400";".";".";"10.5";"51.4";"91.7";"36.5";"35.0";"1.3";"1.3";"1077";"1"
"RAI";"Neighborhood";"1";"0";"0";"0";"0";"0";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";"1078";"2"
"VU-15 minutes";"Neighborhood";"1";"155";"90";"65";"20";"15";"100";"25";"10";"348";"100";".";".";".";".";"76.0";".";".";".";".";"1081";"1"
"Zuidas South";"Neighborhood";"1";"2110";"1225";"880";"235";"145";"1300";"360";"85";"9733";"1500";".";".";"15.7";"53.4";"82.0";"30.1";"35.4";"3.3";"3.0";"1082";"1"
"Vivaldi";"Neighborhood";"1";"980";"480";"500";"40";"445";"455";"45";"5";"3391";"800";".";".";"64.4";"13.2";"47.5";"87.2";"6.7";"10.3";"5.4";"1083";"1"
"Old Pipe";"Neighbourhood";"1";"14820";"7515";"7305";"1335";"1800";"7200";"3220";"1275";"23353";"12600";"41.5";"36.1";"34.9";"29.9";"70.2";"54.0";"16.3";"13.3";"12.1";".";"."
"Hemonybuurt";"Neighborhood";"1";"2570";"1310";"1260";"315";"315";"1160";"585";"205";"21978";"2100";".";"37.0";"32.5";"36.1";"70.2";"48.5";"22.5";"11.8";"9.9";"1074";"1"
"Gerard Doubuurt";"Neighborhood";"1";"1990";"1015";"970";"170";"235";"925";"480";"190";"20116";"1,700";".";".";"38.4";"27.2";"66.6";"56.7";"14.0";"15.9";"13.7";"1073";"4"
"Frans Halsbuurt";"Neighborhood";"1";"2615";"1300";"1315";"240";"270";"1,330";"560";"220";"23396";"2200";".";"44.0";"31.8";"33.2";"73.3";"50.7";"19.5";"12.2";"11.7";"1072";"1"
"Hercules Seghersbuurt";"Neighborhood";"1";"2580";"1305";"1275";"215";"335";"1275";"540";"225";"32306";"2200";".";"31.4";"37.6";"25.2";"67.4";"60.0";"12.1";"16.7";"14.7";"1072";"1"
"Sarphatipark neighborhood";"Neighborhood";"1";"5060";"2580";"2475";"395";"655";"2515";"1060";"440";"22302";"4400";"39.1";"34.6";"34.8";"28.7";"71.3";"54.1";"14.9";"11.9";"11.3";"1073";"4"
"New Pipe";"Neighbourhood";"1";"12325";"5965";"6355";"1175";"1305";"5710";"2685";"1465";"23998";"10500";"40.2";"35.0";"35.9";"29.4";"69.8";"53.4";"17.2";"13.9";"13.7";".";"."
"Willibrordusbuurt";"Neighborhood";"1";"2515";"1180";"1,330";"180";"295";"1115";"530";"405";"23488";"2200";".";".";"42.2";"23.9";"66.6";"61.9";"13.7";"15.6";"16.0";"1074";"1"
"Van der Helstpleinbuurt";"Neighborhood";"1";"3875";"1950";"1925";"400";"395";"1935";"835";"330";"28451";"3300";"45.9";"39.7";"32.1";"33.0";"72.1";"48.9";"19.5";"12.5";"11.8";"1073";"1"
"Lizzy Ansingh neighborhood";"Neighborhood";"1";"2415";"1145";"1270";"260";"250";"1005";"580";"330";"19550";"2,000";".";".";"38.5";"26.1";"67.1";"54.4";"16.2";"17.2";"15.5";"1072";"1"
"Cornelis Troostbuurt";"Neighborhood";"1";"3515";"1690";"1825";"340";"370";"1660";"745";"410";"23987";"3,000";"40.1";"34.8";"33.6";"31.9";"71.1";"51.2";"18.1";"12.0";"13.0";"1072";"1"
"South Pipe";"Neighbourhood";"1";"8200";"3890";"4310";"940";"970";"2800";"2265";"1240";"23247";"6900";"29.2";"24.9";"47.2";"17.1";"55.9";"62.2";"9.7";"18.8";"18.7";".";"."
"Diamantbuurt";"Neighborhood";"1";"3125";"1505";"1615";"385";"390";"1045";"840";"470";"22679";"2600";"28.3";"23.9";"48.8";"16.3";"54.8";"63.3";"9.6";"19.6";"19.4";"1074";"1"
"Mayor Tellegenbuurt East";"Neighborhood";"1";"2825";"1310";"1515";"305";"370";"995";"770";"395";"24116";"2400";".";"26.1";"44.5";"18.3";"56.6";"59.6";"10.1";"16.7";"16.7";"1073";"1"
"Mayor Tellegenbuurt West";"Neighborhood";"1";"2250";"1075";"1170";"250";"210";"765";"655";"380";"23005";"1,900";".";".";"48.4";"16.6";"56.5";"63.7";"9.4";"20.1";"20.3";"1073";"1"
"Weesperzijde";"Neighbourhood";"1";"5535";"2780";"2755";"635";"850";"2410";"1160";"495";"14984";"4400";"46.0";"39.0";"31.3";"36.6";"71.7";"45.7";"24.6";"10.1";"9.4";".";"."
"Swammerdambuurt";"Neighborhood";"1";"1970";"1005";"965";"230";"240";"945";"410";"150";"17018";"1,700";".";".";"29.1";"41.5";"75.2";"42.8";"27.5";"9.2";"8.1";"1091";"1"
"Weesperzijde Central / South";"Neighborhood";"1";"3040";"1540";"1500";"395";"275";"1310";"730";"340";"16496";"2,500";"45.7";"38.3";"30.2";"35.7";"70.2";"44.1";"25.0";"10.1";"10.1";"1091";"1"
"Parool triangle";"Neighborhood";"1";"525";"235";"285";"15";"335";"160";"20";"5";"7566";"200";".";".";"64.2";"7.3";"60.3";"83.8";"0.6";".";".";"1091";"1"
"Oosterpark neighborhood";"Neighbourhood";"1";"10890";"5425";"5460";"1305";"1195";"4455";"2775";"1170";"15076";"9000";"33.9";"28.6";"41.3";"24.2";"63.2";"56.0";"15.3";"17.2";"16.8";".";"."
"Oosterparkbuurt Northwest";"Neighborhood";"1";"3910";"1920";"1985";"360";"470";"1740";"925";"430";"18371";"3400";"33.1";"28.9";"41.5";"23.2";"63.8";"58.0";"13.3";"15.9";"15.4";"1091";"1"
"Oosterpark";"Neighborhood";"1";"125";"65";"60";"10";"15";"55";"50";"10";"553";"100";".";".";"46.8";"10.8";"64.0";".";".";".";".";"1092";"1"
"Oosterparkbuurt Southeast";"Neighborhood";"1";"3765";"1860";"1,900";"515";"415";"1430";"985";"430";"23853";"3,000";"37.0";"30.7";"37.8";"28.8";"66.2";"50.8";"20.4";"14.9";"14.8";"1092";"1"
"Oosterparkbuurt Southwest";"Neighborhood";"1";"3085";"1575";"1510";"425";"300";"1235";"830";"305";"25320";"2,500";"31.4";"25.9";"45.1";"20.6";"58.7";"58.1";"12.8";"21.2";"20.9";"1091";"1"
"Dapperbuurt";"Neighbourhood";"1";"10065";"4965";"5100";"1190";"1270";"3840";"2480";"1300";"16956";"8200";"32.7";"27.6";"43.1";"22.4";"60.0";"57.6";"13.4";"16.2";"16.3";".";"."
"North Dapperbuurt";"Neighborhood";"1";"4355";"2130";"2220";"470";"535";"1,700";"1040";"615";"22088";"3600";"30.6";"26.1";"45.0";"20.3";"59.0";"57.9";"11.3";"15.4";"15.8";"1093";"1"
"Dapperbuurt South";"Neighborhood";"1";"3820";"1895";"1920";"425";"510";"1495";"985";"415";"21926";"3200";"30.7";"26.2";"44.4";"20.0";"60.2";"61.6";"11.4";"17.9";"17.5";"1093";"1"
"East gate";"Neighborhood";"1";"1890";"935";"955";"300";"225";"645";"460";"270";"8513";"1400";".";".";"35.1";"33.2";"62.1";"47.0";"24.0";"14.1";"14.5";"1093";"1"
"Transvaalbuurt";"Neighbourhood";"1";"9340";"4585";"4755";"1275";"1300";"3595";"2230";"950";"25306";"7600";"29.3";"24.1";"46.3";"18.0";"58.7";"58.5";"12.2";"18.6";"17.6";".";"."
"Transvaalbuurt West";"Neighborhood";"1";"4140";"2035";"2100";"495";"590";"1550";"1060";"460";"23624";"3400";"28.9";"24.3";"46.1";"17.8";"58.6";"59.3";"11.6";"18.9";"18.5";"1091";"1"
"Transvaalbuurt East";"Neighborhood";"1";"5200";"2545";"2650";"780";"715";"2050";"1175";"490";"26826";"4200";"29.7";"24.0";"46.5";"18.2";"58.7";"57.9";"12.7";"18.3";"16.9";"1092";"1"
"Indian Neighborhood West";"Neighbourhood";"1";"12640";"6365";"6275";"1655";"1625";"5545";"2690";"1140";"26985";"10400";"30.4";"25.2";"43.8";"20.2";"62.1";"54.7";"12.5";"17.1";"16.2";".";"."
"Northwestern Quadrant Indian neighborhood North";"Neighborhood";"1";"3765";"1945";"1820";"445";"405";"1920";"755";"260";"22829";"3100";"34.8";"29.4";"36.7";"26.2";"69.5";"52.1";"14.3";"15.5";"14.3";"1094";"1"
"Northwestern Indian neighborhood South";"Neighborhood";"1";"4720";"2335";"2380";"570";"680";"2220";"905";"350";"32411";"3900";"31.4";"26.4";"41.7";"22.2";"64.9";"53.2";"13.3";"15.4";"14.8";"1094";"1"
"Southwestern Indian neighborhood";"Neighborhood";"1";"4155";"2085";"2070";"645";"545";"1410";"1035";"535";"26325";"3300";"24.9";"20.0";"53.1";"12.3";"51.5";"59.5";"9.4";"20.9";"19.9";"1094";"1"
"Indian Neighborhood East";"Neighbourhood";"1";"10215";"5125";"5085";"1520";"1205";"3705";"2545";"1250";"10876";"8000";"27.6";"22.3";"48.6";"15.9";"56.9";"58.7";"10.5";"19.3";"18.9";".";"."
"Northeast Indian neighborhood";"Neighborhood";"1";"6060";"3040";"3015";"875";"670";"2210";"1475";"850";"23626";"4700";"26.8";"21.8";"49.3";"14.5";"56.4";"61.7";"8.8";"20.4";"20.7";"1095";"1"
"Southeast Indian neighborhood";"Neighborhood";"1";"3680";"1845";"1830";"580";"490";"1365";"905";"350";"26606";"2900";"26.8";"21.5";"49.9";"15.2";"56.2";"57.1";"10.5";"19.0";"17.5";"1095";"1"
"Zeeburgerdijk East";"Neighborhood";"1";"455";"225";"225";"70";"50";"130";"165";"55";"5244";"400";".";".";"30.3";"37.8";"66.6";"27.8";"35.4";"5.9";"4.4";"1095";"1"
"Flevopark";"Neighborhood";"1";"15";"10";"5";"5";"5";"10";"10";"5";"39";"0";".";".";".";".";".";".";".";".";".";"1095";"1"
"Eastern Docklands";"Neighbourhood";"1";"18545";"9340";"9205";"2920";"1895";"5635";"6485";"1620";"12011";"14800";"46.3";"37.5";"29.8";"38.4";"69.7";"31.9";"30.9";"8.9";"7.9";".";"."
"Oostelijke Handelskade";"Neighborhood";"1";"1465";"785";"680";"225";"100";"715";"365";"75";"6429";"1200";".";".";"21.7";"50.0";"76.9";"24.5";"36.4";"8.6";"7.3";"1019";"1"
"Reedlands";"Neighborhood";"1";"2490";"1235";"1255";"385";"270";"900";"720";"230";"9345";"2,000";".";".";"29.4";"40.0";"70.3";"32.9";"31.5";"7.3";"7.9";"1019";"1"
"Java Island";"Neighborhood";"1";"3135";"1550";"1585";"475";"255";"910";"1120";"385";"18534";"2,500";"50.2";"41.1";"24.1";"43.6";"70.9";"27.3";"32.9";"5.4";"4.6";"1019";"1"
"KNSM island";"Neighborhood";"1";"2395";"1255";"1140";"230";"200";"625";"1020";"335";"18953";"2100";".";".";"28.7";"35.8";"67.6";"34.0";"26.8";"9.3";"8.7";"1019";"1"
"Sporenburg";"Neighborhood";"1";"2640";"1300";"1335";"550";"360";"565";"1075";"100";"16975";"1,900";".";"36.0";"29.6";"41.4";"71.4";"22.7";"46.0";"6.3";"5.8";"1019";"1"
"Borneo";"Neighborhood";"1";"2870";"1420";"1450";"660";"335";"825";"935";"125";"24238";"2100";".";"34.2";"31.4";"38.9";"71.6";"28,4";"37,1";"9,6";"8,2";"1019";"1"
"Entrepot-Noordwest";"Buurt";"1";"1460";"725";"735";"175";"160";"470";"510";"150";"13424";"1200";".";".";"38,9";"27,4";"63,0";"43,0";"18,5";"12,3";"12,4";"1019";"1"
"Architectenbuurt";"Buurt";"1";"1770";"890";"880";"195";"185";"515";"685";"205";"17617";"1500";".";".";"36,1";"28,6";"64,8";"41,2";"18,4";"12,5";"9,8";"1019";"1"
"Bedrijvengebied Veelaan";"Buurt";"1";"35";"15";"20";"5";"5";"10";"20";"10";"870";"0";".";".";".";".";".";".";".";".";".";"1019";"1"
"Bedrijvengebied Cruquiusweg";"Buurt";"1";"110";"70";"40";"10";"35";"65";"10";"5";"655";"100";".";".";"49,0";"31,7";"59,0";".";".";".";".";"1019";"1"
"Bedrijvengebied Zeeburgerkade";"Buurt";"1";"150";"75";"70";"30";"10";"55";"40";"25";"2972";"100";".";".";"36,1";"22,1";"75,4";".";".";".";".";"1019";"1"
"Zeeburgereiland/Nieuwe Diep";"Wijk";"1";"3135";"1600";"1535";"295";"1075";"1260";"385";"140";"1267";"2400";".";"25,2";"48,1";"20,7";"58,3";"65,6";"9,4";"14,6";"10,9";".";"."
"Zeeburgereiland Noordwest";"Buurt";"1";"20";"10";"10";"5";"0";"10";"5";"5";"62";"0";".";".";".";".";".";".";".";".";".";"1095";"1"
"Zeeburgereiland Zuidoost";"Buurt";"1";"495";"230";"265";"10";"375";"110";"5";"5";"2213";"400";".";".";"83,1";"1,4";"27,7";"97,8";"0,8";".";".";"1095";"1"
"Zeeburgereiland Zuidwest";"Buurt";"1";"260";"130";"125";"10";"195";"50";"15";"5";"1549";"200";".";".";"82,4";"3,4";"32,8";"93,3";"1,3";".";".";"1095";"1"
"Nieuwe Diep/Diemerpark";"Buurt";"1";"70";"40";"30";"10";"15";"15";"25";"15";"59";"100";".";".";".";".";".";".";".";".";".";"1095";"3"
"RI Oost terrein";"Buurt";"1";"2280";"1180";"1100";"265";"495";"1080";"340";"115";"7920";"1800";".";".";"37,0";"26,6";"67,7";"52,9";"12,5";"12,2";"9,7";"1095";"1"
"Zeeburgereiland Noordoost";"Buurt";"1";"0";"0";"0";"0";"5";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";"1095";"1"
"IJburg West";"Wijk";"1";"14820";"7395";"7420";"4050";"1660";"4410";"4015";"695";"13204";"10200";"45,7";"31,8";"33,1";"37,8";"68,6";"28,3";"35,9";"8,7";"7,4";".";"."
"Steigereiland Noord";"Buurt";"1";"1435";"725";"705";"360";"145";"530";"355";"55";"9921";"1000";".";".";"32,2";"38,1";"69,9";"30,6";"31,6";"9,6";"8,5";"1086";"1"
"Steigereiland Zuid";"Buurt";"1";"2665";"1350";"1315";"795";"335";"690";"775";"90";"11839";"1800";".";"30,3";"35,8";"36,8";"68,0";"30,4";"40,2";"9,0";"6,4";"1086";"1"
"Haveneiland Zuidwest/Rieteiland West";"Buurt";"1";"2815";"1425";"1390";"795";"355";"590";"960";"125";"10377";"1900";".";"40,4";"28,2";"48,0";"70,6";"13,7";"55,6";"3,8";"2,9";"1087";"1"
"Haveneiland Noordwest";"Buurt";"1";"2510";"1230";"1280";"565";"250";"865";"635";"200";"14803";"1800";".";".";"32,1";"35,3";"68,5";"34,2";"27,1";"8,9";"8,4";"1087";"1"
"Haveneiland Noordoost";"Buurt";"1";"5380";"2650";"2730";"1540";"580";"1745";"1300";"230";"17323";"3600";"41,0";"28,0";"35,3";"33,9";"67,6";"30,3";"31,0";"10,4";"9,0";"1087";"1"
"Sloterdijk";"Wijk";"1";"505";"295";"210";"40";"30";"335";"90";"20";"421";"400";".";".";"19,7";"46,8";"84,1";"32,0";"29,9";"10,9";"10,9";".";"."
"Woon- en Groengebied Sloterdijk";"Buurt";"1";"420";"225";"190";"40";"25";"295";"50";"20";"807";"400";".";".";"15,1";"51,2";"87,7";"23,3";"34,7";"4,7";"4,7";"1014";"1"
"Bedrijventerrein Sloterdijk I";"Buurt";"1";"85";"65";"15";"5";"5";"40";"40";"0";"126";"0";".";".";".";".";".";".";".";".";".";"1014";"1"
"Landlust";"Wijk";"1";"18560";"9185";"9370";"2775";"2360";"8105";"3845";"1485";"18164";"14800";"30,3";"24,5";"42,8";"19,4";"62,8";"55,6";"11,7";"16,5";"15,0";".";"."
"Bedrijventerrein Landlust";"Buurt";"1";"500";"255";"240";"25";"75";"330";"50";"30";"4660";"500";".";".";"25,8";"30,6";"80,7";"46,5";"15,7";"6,6";"6,6";"1055";"1"
"Bosleeuw";"Buurt";"1";"5730";"2750";"2975";"865";"1000";"2205";"1215";"450";"16804";"4400";"26,8";"21,3";"48,7";"15,2";"57,5";"56,4";"10,7";"17,0";"14,3";"1055";"1"
"Landlust Zuid";"Buurt";"1";"3810";"1905";"1905";"550";"345";"1800";"775";"345";"19161";"3100";"33,3";"27,4";"40,0";"23,9";"65,9";"53,6";"14,1";"14,8";"15,0";"1056";"5"
"Erasmusparkbuurt Oost";"Buurt";"1";"1960";"980";"980";"385";"240";"795";"420";"125";"23670";"1500";".";".";"36,0";"27,1";"66,5";"49,1";"20,2";"12,4";"11,7";"1056";"5"
"Gibraltarbuurt";"Buurt";"1";"4235";"2150";"2085";"575";"430";"1960";"925";"355";"21936";"3400";"29,0";"23,8";"43,5";"17,6";"62,5";"60,8";"8,3";"20,4";"18,6";"1055";"1"
"Landlust Noord";"Buurt";"1";"2315";"1135";"1175";"380";"270";"1020";"465";"185";"23613";"1800";".";".";"41,7";"16,6";"63,6";"55,0";"8,9";"16,4";"14,3";"1055";"1"
"Erasmuspark";"Wijk";"1";"5845";"2825";"3020";"725";"680";"2905";"1085";"455";"16128";"4900";"34,5";"29,2";"33,2";"26,2";"72,5";"45,8";"14,9";"10,0";"9,9";".";"."
"Erasmusparkbuurt West";"Buurt";"1";"4050";"1950";"2095";"495";"470";"2040";"730";"320";"13670";"3400";"35,4";"30,0";"31,3";"27,8";"74,0";"44,0";"15,1";"8,8";"8,8";"1055";"1"
"Robert Scottbuurt Oost";"Buurt";"1";"1795";"870";"920";"235";"210";"865";"355";"135";"27126";"1500";".";".";"37,6";"22,7";"69,1";"49,9";"14,6";"12,8";"12,7";"1056";"1"
"De Kolenkit";"Wijk";"1";"10075";"4985";"5090";"1820";"1690";"4075";"1685";"815";"13983";"7500";"26,5";"20,4";"48,8";"14,8";"56,8";"60,7";"9,9";"19,0";"16,8";".";"."
"Robert Scottbuurt West";"Buurt";"1";"2115";"990";"1120";"200";"385";"960";"330";"245";"14933";"1800";".";".";"45,4";"14,1";"63,2";"68,5";"7,1";"14,0";"13,5";"1055";"3"
"Laan van Spartaan";"Buurt";"1";"2100";"1030";"1070";"370";"440";"925";"235";"140";"13150";"1500";".";".";"43,1";"23,3";"64,0";"58,3";"14,7";"15,5";"12,9";"1061";"1"
"Kolenkitbuurt Zuid";"Buurt";"1";"2135";"1065";"1070";"350";"345";"890";"370";"185";"17508";"1600";".";".";"44,7";"18,0";"58,8";"54,4";"12,8";"15,7";"14,1";"1061";"1"
"Kolenkitbuurt Noord";"Buurt";"1";"3720";"1895";"1825";"900";"520";"1305";"755";"250";"12529";"2600";"22,1";"15,5";"56,9";"8,4";"47,5";"59,8";"6,9";"26,9";"23,3";"1061";"1"
"Geuzenbuurt";"Wijk";"1";"6895";"3330";"3565";"845";"810";"3415";"1260";"575";"25044";"5800";"37,4";"31,7";"33,5";"28,4";"73,4";"50,0";"17,0";"11,4";"10,6";".";"."
"Geuzenhofbuurt";"Buurt";"1";"1680";"785";"895";"135";"170";"985";"260";"140";"20751";"1500";".";".";"25,4";"35,9";"80,1";"42,4";"16,4";"7,8";"6,9";"1056";"1"
"Trompbuurt";"Buurt";"1";"3290";"1565";"1725";"440";"435";"1580";"575";"270";"26728";"2700";"37,4";"31,4";"34,0";"28,1";"73,7";"51,9";"18,5";"10,8";"9,6";"1056";"1"
"Pieter van der Doesbuurt";"Buurt";"1";"1925";"980";"940";"275";"210";"855";"430";"170";"27015";"1600";".";".";"40,2";"21,8";"66,7";"54,5";"14,8";"16,2";"16,1";"1056";"1"
"Van Galenbuurt";"Wijk";"1";"7135";"3875";"3260";"840";"795";"3275";"1720";"510";"24754";"4700";"30,2";"25,6";"42,1";"19,3";"62,6";"59,0";"9,3";"18,5";"18,4";".";"."
"John Franklinbuurt";"Buurt";"1";"1930";"940";"985";"230";"205";"910";"430";"165";"27181";"1600";".";".";"40,5";"18,6";"65,0";"61,6";"8,7";"17,8";"17,8";"1056";"1"
"Jan Maijenbuurt";"Buurt";"1";"2255";"1070";"1185";"285";"270";"985";"550";"170";"28797";"1900";".";".";"44,8";"18,2";"59,4";"59,6";"8,7";"20,5";"20,7";"1056";"1"
"Orteliusbuurt Noord";"Buurt";"1";"1390";"685";"700";"155";"160";"650";"265";"165";"32615";"1200";".";".";"39,9";"22,1";"64,6";"54,5";"11,0";"16,5";"15,6";"1056";"1"
"Mercatorpark";"Buurt";"1";"1555";"1170";"385";"170";"165";"735";"480";"10";"16190";"0";".";".";".";".";".";".";".";".";".";"1056";"1"
"Hoofdweg e.o.";"Wijk";"1";"10415";"5175";"5235";"1390";"1090";"4775";"2205";"955";"26086";"8500";"32,3";"26,9";"39,4";"21,7";"67,1";"56,2";"11,9";"16,8";"15,7";".";"."
"Balboaplein e.o.";"Buurt";"1";"3120";"1550";"1565";"445";"375";"1470";"620";"210";"26738";"2500";"31,5";"25,9";"41,0";"20,5";"66,8";"56,0";"11,5";"17,0";"15,5";"1057";"1"
"Columbusplein e.o.";"Buurt";"1";"3490";"1795";"1695";"515";"375";"1465";"815";"330";"24163";"2800";"30,0";"24,6";"42,8";"17,9";"63,8";"59,8";"10,4";"19,7";"18,8";"1057";"1"
"Orteliusbuurt Midden";"Buurt";"1";"1940";"940";"1000";"240";"160";"970";"415";"160";"31875";"1600";".";".";"35,3";"25,2";"70,5";"51,8";"13,8";"13,7";"12,6";"1057";"1"
"Orteliusbuurt Zuid";"Buurt";"1";"1860";"885";"970";"195";"185";"870";"360";"255";"24130";"1500";".";".";"34,8";"27,3";"70,4";"55,0";"13,0";"14,3";"13,7";"1057";"1"
"Westindische Buurt";"Wijk";"1";"6945";"3340";"3605";"895";"740";"3375";"1355";"590";"21808";"5800";"39,6";"33,3";"30,7";"31,0";"73,0";"47,1";"20,0";"10,1";"9,4";".";"."
"Paramariboplein e.o.";"Buurt";"1";"3875";"1865";"2005";"525";"405";"1940";"725";"285";"24803";"3200";"40,7";"33,8";"30,8";"32,4";"73,6";"46,9";"20,7";"9,6";"9,0";"1058";"1"
"Postjeskade e.o.";"Buurt";"1";"3070";"1470";"1595";"370";"330";"1435";"630";"305";"18922";"2600";"38,2";"32,6";"30,4";"29,3";"72,2";"47,4";"19,1";"10,7";"9,9";"1058";"1"
"Hoofddorppleinbuurt";"Wijk";"1";"11835";"5490";"6345";"1435";"1240";"5480";"2580";"1115";"13948";"9800";"44,3";"37,6";"28,0";"36,1";"74,3";"43,9";"22,4";"8,7";"8,6";".";"."
